id,name,lang,status,phase,category,category_name,tier,countries,country_count,href,revenue,est_traffic,est_revenue,priority,is_new,pro_bundle,tool_count
farm-profit-madagascar,Madagascar Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,MG,1,/agriculture/farm-profit/madagascar,Freemium,300,4,50,,,1
farm-profit-malawi,Malawi Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,MW,1,/agriculture/farm-profit/malawi,Freemium,300,4,50,,,1
farm-profit-mali,Mali Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,ML,1,/agriculture/farm-profit/mali,Freemium,300,4,50,,,1
farm-profit-mauritania,Mauritania Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,MR,1,/agriculture/farm-profit/mauritania,Freemium,200,3,45,,,1
farm-profit-mauritius,Mauritius Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,MU,1,/agriculture/farm-profit/mauritius,Freemium,250,3,47,,,1
farm-profit-morocco,Morocco Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,MA,1,/agriculture/farm-profit/morocco,Freemium,500,7,56,,,1
farm-profit-mozambique,Mozambique Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,MZ,1,/agriculture/farm-profit/mozambique,Freemium,300,4,50,,,1
farm-profit-namibia,Namibia Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,NA,1,/agriculture/farm-profit/namibia,Freemium,250,3,47,,,1
farm-profit-niger,Niger Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,NE,1,/agriculture/farm-profit/niger,Freemium,300,4,50,,,1
farm-profit-nigeria,Nigeria Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,NG,1,/agriculture/farm-profit/nigeria,Freemium,1000,15,65,,,1
farm-profit-rwanda,Rwanda Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,RW,1,/agriculture/farm-profit/rwanda,Freemium,300,4,50,,,1
farm-profit-sao-tome-and-principe,Sao Tome Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,ST,1,/agriculture/farm-profit/sao-tome-and-principe,Freemium,150,2,43,,,1
farm-profit-senegal,Senegal Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,SN,1,/agriculture/farm-profit/senegal,Freemium,400,6,54,,,1
farm-profit-seychelles,Seychelles Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,SC,1,/agriculture/farm-profit/seychelles,Freemium,150,2,43,,,1
farm-profit-sierra-leone,Sierra Leone Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,SL,1,/agriculture/farm-profit/sierra-leone,Freemium,250,3,47,,,1
