rank_order,id,name,href,category,category_label,status,language,score,rank,standard_status,improvement_priority,instance_count,benchmark_profile,competitors,required_missing,strong_missing,top_gaps
1413,farm-loans-egypt,Egypt Farm Loan Eligibility Calculator,/agriculture/farm-loans/egypt,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1414,zana-kizalishaji-nenosiri-sw-wave9,Kizalishaji Nenosiri,/sw/zana/kizalishaji-nenosiri/,security,Security & Safety,live,sw,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,browserOk,browser smoke not run; missing methodology/breakdown; missing disclaimer/limitations; no verification panel; missing benchmark feature: disclaimer
1415,architectural-fee,Architectural Drawing Fee Calculator,/tools/architectural-fee/,engineering,Engineering & Construction,new,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1416,betting-odds,"Football Betting Odds Calculator - Value, Profit, Implied Probability",/tools/betting-odds/,sports,Sports & Entertainment,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1417,bf-paye-fr,Calculateur Salaire Net — Burkina Faso,/fr/burkina-faso/calculateur-salaire-net,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,,businessCta; verificationPanel; browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1418,fish-farming-nigeria,Nigeria Fish Farming ROI,/agriculture/fish-farming/nigeria,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1419,meeting-cost,Meeting Cost Calculator,/tools/meeting-cost/,data-productivity,Business & ROI,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1420,traducteur-yoruba-fr,Traducteur yoruba,/fr/tools/traducteur-yoruba,language,Language & Translation,live,fr,89,A,competitor-grade,P3-monitor,1,Language and translation utility,Google Translate; DeepL; local phrasebook sites,,browserOk,no workflow or methodology evidence; browser smoke not run; missing methodology/breakdown; weak related/internal links
1421,farm-payroll-south-africa,South Africa Farm Worker Payroll Calculator,/agriculture/farm-payroll/south-africa,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1422,roi-solaire-cote-divoire-fr,ROI solaire - Cote d'Ivoire,/fr/tools/roi-solaire/cote-divoire,energy,Energy & Utilities,live,fr,89,A,competitor-grade,P3-monitor,1,Energy and utility estimator,utility tariff calculators; solar sizing tools,,browserOk,browser smoke not run; missing disclaimer/limitations; no verification panel; weak meta description length; weak commercial metadata
1423,farm-loans-cameroon,Cameroon Farm Loan Eligibility Calculator,/agriculture/farm-loans/cameroon,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1424,input-prices-ghana,Ghana Agri-Input Price Comparator,/agriculture/input-prices/ghana,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1425,input-prices-south-africa,South Africa Agri-Input Price Comparator,/agriculture/input-prices/south-africa,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1426,swimming-pool-cost,Swimming Pool Cost Estimator,/tools/swimming-pool-cost/,engineering,Engineering & Construction,new,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,saveExport; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1427,farm-loans-tunisia,Tunisia Farm Loan Eligibility Calculator,/agriculture/farm-loans/tunisia,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1428,ng-plus-value-fr,Calculateur de plus-value immobilière au Nigeria,/fr/tools/ng-plus-value,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer,businessCta; browserOk,browser smoke not run; missing disclaimer/limitations; weak meta description length; high-intent money tool lacks business CTA; weak commercial metadata
1429,farm-payroll-ethiopia,Ethiopia Farm Worker Payroll Calculator,/agriculture/farm-payroll/ethiopia,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1430,fish-farming-south-africa,South Africa Fish Farming ROI,/agriculture/fish-farming/south-africa,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1431,input-prices-morocco,Morocco Agri-Input Price Comparator,/agriculture/input-prices/morocco,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1432,farm-payroll-cote-d-ivoire,Cote d'Ivoire Farm Worker Payroll Calculator,/agriculture/farm-payroll/cote-d-ivoire,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1433,farm-payroll-tanzania,Tanzania Farm Worker Payroll Calculator,/agriculture/farm-payroll/tanzania,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1434,farm-payroll-cameroon,Cameroon Farm Worker Payroll Calculator,/agriculture/farm-payroll/cameroon,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1435,farm-payroll-morocco,Morocco Farm Worker Payroll Calculator,/agriculture/farm-payroll/morocco,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1436,input-prices-uganda,Uganda Agri-Input Price Comparator,/agriculture/input-prices/uganda,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1437,cf-paye-fr,Calculateur Salaire Net — Centrafrique,/fr/centrafrique/calculateur-salaire-net,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer,businessCta; browserOk,browser smoke not run; missing disclaimer/limitations; weak title length; high-intent money tool lacks business CTA; weak commercial metadata
1438,dj-paye-fr,Calculateur Salaire Net — Djibouti,/fr/djibouti/calculateur-salaire-net,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology,officialSource; businessCta; browserOk,browser smoke not run; missing methodology/breakdown; weak title length; high-intent money tool lacks business CTA; weak commercial metadata
1439,farm-payroll-algeria,Algeria Farm Worker Payroll Calculator,/agriculture/farm-payroll/algeria,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1440,farm-payroll-senegal,Senegal Farm Worker Payroll Calculator,/agriculture/farm-payroll/senegal,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1441,input-prices-rwanda,Rwanda Agri-Input Price Comparator,/agriculture/input-prices/rwanda,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1442,km-paye-fr,Calculateur Salaire Net — Comores,/fr/comores/calculateur-salaire-net,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer,businessCta; browserOk,browser smoke not run; missing disclaimer/limitations; weak title length; high-intent money tool lacks business CTA; weak commercial metadata
1443,farm-payroll-dr-congo,DR Congo Farm Worker Payroll Calculator,/agriculture/farm-payroll/dr-congo,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1444,input-prices-cameroon,Cameroon Agri-Input Price Comparator,/agriculture/input-prices/cameroon,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1445,input-prices-senegal,Senegal Agri-Input Price Comparator,/agriculture/input-prices/senegal,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1446,input-prices-tunisia,Tunisia Agri-Input Price Comparator,/agriculture/input-prices/tunisia,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1447,50-30-20-budget,"50/30/20 Budget Calculator for Africa — Needs, Wants & Savings",/tools/50-30-20-budget/,personal-finance,Personal Finance,live,en,89,A,competitor-grade,P3-monitor,1,Personal finance calculator,NerdWallet calculators; Bankrate; local bank calculators,,saveExport; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1448,afroprices,AfroPrices — Compare Prices Across Africa,/tools/afroprices/,african,Uniquely African,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,browserOk,browser smoke not run; missing methodology/breakdown; missing disclaimer/limitations; no verification panel; missing benchmark feature: disclaimer
1449,airbnb-vs-hotel,"Airbnb vs Hotel Comparator Africa — Lagos, Nairobi, Cape Town",/tools/airbnb-vs-hotel/,travel-tourism,Travel & Tourism,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1450,album-budget,Album / EP Release Budget Calculator — Africa,/tools/album-budget/,personal-finance,Personal Finance,live,en,89,A,competitor-grade,P3-monitor,1,Personal finance calculator,NerdWallet calculators; Bankrate; local bank calculators,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1451,career-growth,Career Growth Trajectory Calculator,/tools/career-growth/,career,Career & Development,live,en,89,A,competitor-grade,P3-monitor,1,Career tool,LinkedIn tools; Indeed calculators; Resume.io,,saveExport; download; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1452,career-switch,Career Switch Financial Impact Calculator Africa,/tools/career-switch/,career,Career & Development,live,en,89,A,competitor-grade,P3-monitor,1,Career tool,LinkedIn tools; Indeed calculators; Resume.io,,saveExport; download; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1453,cctv-cost,CCTV System Cost Calculator — Africa,/tools/cctv-cost/,security,Security & Safety,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1454,contractor-vs-employee,Contractor vs Employee Cost — All 54 African Countries,/tools/contractor-vs-employee/,hr-payroll,HR & Payroll,live,en,89,A,competitor-grade,P3-monitor,55,Payroll and HR utility,Gusto; Deel; BambooHR calculators; TaxTim,,officialSource; saveExport; businessCta; workflowCopy; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1455,dev-tools,"Developer Tools for Africa — JSON, Regex, JWT, Hash, UUID",/tools/dev-tools/,developer,Developer Tools,live,en,89,A,competitor-grade,P3-monitor,1,Developer utility,JSONLint; Regex101; Code Beautify; MDN examples,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak meta description length
1456,due-date-tools,Pregnancy Due Date Calculator,/tools/due-date,health,Health & Wellness,live,en,89,A,competitor-grade,P3-monitor,1,Health and wellness estimator,WebMD calculators; NHS tools; Mayo Clinic references,disclaimer,methodology; browserOk,browser smoke not run; missing methodology/breakdown; missing disclaimer/limitations; no verification panel; missing benchmark feature: disclaimer
1457,event-decoration-cost,Event Decoration Cost Calculator — Africa,/tools/event-decoration-cost/,small-business,Small Business & SME,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,saveExport; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1458,fabric-cost,Fabric & Material Cost Calculator — Africa,/tools/fabric-cost/,african,Uniquely African,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1459,farm-payroll-mozambique,Mozambique Farm Worker Payroll Calculator,/agriculture/farm-payroll/mozambique,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1460,farm-payroll-zimbabwe,Zimbabwe Farm Worker Payroll Calculator,/agriculture/farm-payroll/zimbabwe,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1461,festival-travel-budget,African Festival & Event Travel Budget Calculator,/tools/festival-travel-budget/,travel-tourism,Travel & Tourism,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1462,film-budget,Film / Movie Budget Breakdown Tool — Nollywood & Africa,/tools/film-budget/,personal-finance,Personal Finance,live,en,89,A,competitor-grade,P3-monitor,1,Personal finance calculator,NerdWallet calculators; Bankrate; local bank calculators,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1463,fleet-fuel,Fleet Fuel Budget Calculator Africa,/tools/fleet-fuel/,transport,Transport & Logistics,live,en,89,A,competitor-grade,P3-monitor,1,Transport and mobility estimator,fare calculators; transport authority portals; Google Maps,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak related/internal links
1464,freelance-contract,Freelance Contract Generator for Africa,/tools/freelance-contract/,small-business,Small Business & SME,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1465,gh-wht-fr,Retenue à la source — Ghana,/fr/tools/gh-wht,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer,businessCta; verificationPanel; browserOk,browser smoke not run; missing disclaimer/limitations; no verification panel; high-intent money tool lacks business CTA; weak commercial metadata
1466,gratuity-calculator,Gratuity & Severance Calculator — All 54 African Countries,/tools/gratuity-calculator/,hr-payroll,HR & Payroll,live,en,89,A,competitor-grade,P3-monitor,55,Payroll and HR utility,Gusto; Deel; BambooHR calculators; TaxTim,,officialSource; saveExport; businessCta; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1467,guard-service-cost,Guard Service Cost Comparator — Africa,/tools/guard-service-cost/,small-business,Small Business & SME,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1468,home-security-cost,Home Security Cost Estimator — Africa,/tools/home-security-cost/,security,Security & Safety,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1469,immigration-points,"Immigration Points Calculator — Canada CRS, Australia Points, UK Skilled Worker",/tools/immigration-points/,diaspora,Diaspora,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1470,ip-protection,IP Protection Guide — Intellectual Property in Africa,/tools/ip-protection/,legal,Mortgage & Property,live,en,89,A,competitor-grade,P3-monitor,1,Legal and compliance workflow,LegalZoom; Rocket Lawyer; local regulator portals,,officialSource; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak meta description length
1471,marine-insurance,Marine & Cargo Insurance Calculator for Africa,/tools/marine-insurance/,insurance,Insurance,live,en,89,A,competitor-grade,P3-monitor,1,Insurance estimator,insurer quote tools; comparison marketplaces,,businessCta; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1472,password-strength,Password Strength Checker — 100% Client-Side,/tools/password-strength/,security,Security & Safety,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1473,quality-sampling,Quality Control Sampling Calculator,/tools/quality-sampling/,small-business,Small Business & SME,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak related/internal links
1474,retirement-readiness,Retirement Readiness Score,/tools/retirement-readiness/,career,Career & Development,live,en,89,A,competitor-grade,P3-monitor,1,Career tool,LinkedIn tools; Indeed calculators; Resume.io,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak related/internal links
1475,retrenchment-calculator,Retrenchment Package Calculator — All 54 African Countries,/tools/retrenchment-calculator/,hr-payroll,HR & Payroll,live,en,89,A,competitor-grade,P3-monitor,55,Payroll and HR utility,Gusto; Deel; BambooHR calculators; TaxTim,,officialSource; saveExport; businessCta; workflowCopy; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1476,safari-cost,African Safari Cost Calculator — Budget to Luxury,/tools/safari-cost/,travel-tourism,Travel & Tourism,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1477,security-emergency-fund,Security Emergency Fund,/tools/security-emergency-fund/,personal-finance,Personal Finance,live,en,89,A,competitor-grade,P3-monitor,1,Personal finance calculator,NerdWallet calculators; Bankrate; local bank calculators,,saveExport; browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1478,side-hustle-ranker,African Side Hustle Profitability Ranker — Top 5 for Your Profile,/tools/side-hustle-ranker/,personal-finance,Personal Finance,live,en,89,A,competitor-grade,P3-monitor,1,Personal finance calculator,NerdWallet calculators; Bankrate; local bank calculators,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1479,travel-vaccination-cost,Travel Vaccination Cost & Schedule for Africa,/tools/travel-vaccination-cost/,travel-tourism,Travel & Tourism,live,en,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1480,vehicle-operating-cost,Vehicle Operating Cost Calculator Africa,/tools/vehicle-operating-cost/,transport,Transport & Logistics,live,en,89,A,competitor-grade,P3-monitor,1,Transport and mobility estimator,fare calculators; transport authority portals; Google Maps,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; high-intent money tool lacks business CTA
1481,immobilier-diaspora-fr,Immobilier diaspora,/fr/tools/immobilier-diaspora,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer,officialSource; saveExport; businessCta; browserOk,browser smoke not run; missing disclaimer/limitations; weak meta description length; high-intent money tool lacks business CTA; weak commercial metadata
1482,input-prices-angola,Angola Agri-Input Price Comparator,/agriculture/input-prices/angola,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak title length
1483,plus-value-immobiliere-fr,Plus-value immobilière,/fr/tools/plus-value-immobiliere,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer,officialSource; saveExport; businessCta; browserOk,browser smoke not run; missing disclaimer/limitations; weak meta description length; high-intent money tool lacks business CTA; weak commercial metadata
1484,farm-payroll-tunisia,Tunisia Farm Worker Payroll Calculator,/agriculture/farm-payroll/tunisia,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1485,impot-activite-secondaire-fr,Impôt activité secondaire,/fr/tools/impot-activite-secondaire,financial,"Finance, Tax & Market Data",live,fr,89,A,competitor-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,disclaimer,officialSource; businessCta; browserOk,browser smoke not run; missing disclaimer/limitations; weak meta description length; high-intent money tool lacks business CTA; weak commercial metadata
1486,farm-payroll-burkina-faso,Burkina Faso Farm Worker Payroll Calculator,/agriculture/farm-payroll/burkina-faso,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1487,farm-payroll-madagascar,Madagascar Farm Worker Payroll Calculator,/agriculture/farm-payroll/madagascar,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1488,irrigation-cote-d-ivoire,Côte d'Ivoire Irrigation Calculator,/agriculture/irrigation/cote-d-ivoire,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; missing official/verification evidence; no verification panel; weak meta description length
1489,afroprix-fr,AfroPrix — Prix à la consommation,/fr/tools/afroprix,african,Uniquely African,live,fr,89,A,competitor-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,saveExport; browserOk,browser smoke not run; missing disclaimer/limitations; weak meta description length; weak related/internal links; weak commercial metadata
1490,farm-payroll-mauritius,Mauritius Farm Worker Payroll Calculator,/agriculture/farm-payroll/mauritius,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1491,farm-payroll-namibia,Namibia Farm Worker Payroll Calculator,/agriculture/farm-payroll/namibia,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1492,farm-payroll-botswana,Botswana Farm Worker Payroll Calculator,/agriculture/farm-payroll/botswana,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1493,farm-payroll-burundi,Burundi Farm Worker Payroll Calculator,/agriculture/farm-payroll/burundi,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1494,farm-payroll-congo-brazzaville,Congo Farm Worker Payroll Calculator,/agriculture/farm-payroll/congo-brazzaville,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1495,farm-payroll-sierra-leone,Sierra Leone Farm Worker Payroll Calculator,/agriculture/farm-payroll/sierra-leone,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
1496,farm-payroll-eswatini,Eswatini Farm Worker Payroll Calculator,/agriculture/farm-payroll/eswatini,agriculture,Agriculture,live,en,89,A,competitor-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,,browserOk,browser smoke not run; no verification panel; weak title length; weak meta description length; high-intent money tool lacks business CTA
