rank_order,id,name,href,category,category_label,status,language,score,rank,standard_status,improvement_priority,instance_count,benchmark_profile,competitors,required_missing,strong_missing,top_gaps
32,receipt-generator-ha,Kirkiro Resit,/ha/kayan-aiki/kirkiro-resit/,document-pdf,Document & PDF,live,ha,79,B,standard-grade,P3-monitor,1,PDF workflow utility,iLovePDF; Smallpdf; Adobe Acrobat online,privacyLocal,batchWorkflow; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
33,pdf-compress-yo,Dín ìwọ̀n PDF,/yo/awon-ise/din-iwon-pdf/,document-pdf,Document & PDF,live,yo,79,B,standard-grade,P3-monitor,1,PDF workflow utility,iLovePDF; Smallpdf; Adobe Acrobat online,,batchWorkflow; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
34,telecom-airtime-ha,Darajar Katin Waya,/ha/kayan-aiki/darajar-katin-waya/,telecom,Telecom & Mobile,live,ha,79,B,standard-grade,P3-monitor,1,General online utility,Calculator.net; Omni Calculator; specialist SaaS utilities,disclaimer,saveExport; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
35,naira-to-words-ha,Naira zuwa Kalmomi,/ha/kayan-aiki/naira-zuwa-kalmomi/,document-pdf,Document & PDF,live,ha,79,B,standard-grade,P3-monitor,1,PDF workflow utility,iLovePDF; Smallpdf; Adobe Acrobat online,fileUpload; download,batchWorkflow; workflowCopy; browserOk,no workflow or methodology evidence; browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
36,cassava-processing-nigeria-ha,Sarrafa Rogo Najeriya,/ha/kayan-aiki/sarrafa-rogo/,agriculture,Agriculture,live,ha,80,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,sources,saveExport; browserOk,missing export/copy/save path; browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing disclaimer/limitations
37,payslip-generator-ha,Takardar Albashi,/ha/kayan-aiki/takardar-albashi/,financial,"Finance, Tax & Market Data",live,ha,80,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology; disclaimer,officialSource; businessCta; verificationPanel; browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
38,remittance-compare-ha,Kwatanta Aika Kudi,/ha/kayan-aiki/kwatanta-aika-kudi/,financial,"Finance, Tax & Market Data",live,ha,80,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology; disclaimer,officialSource; businessCta; verificationPanel; browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
39,tin-guide-nigeria-ha,Jagorar TIN Najeriya,/ha/kayan-aiki/jagorar-tin-najeriya/,ecommerce,VAT & Business Tax,live,ha,80,B,standard-grade,P3-monitor,1,"VAT, invoice, ecommerce calculator",Taxngr; TaxCalc.ng; Zoho Invoice; Wave,methodology; disclaimer,download; businessCta; browserOk,browser smoke not run; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
40,staff-cost-ha,Kudin Maikaci,/ha/kayan-aiki/kudin-maikaci/,financial,"Finance, Tax & Market Data",live,ha,80,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology; disclaimer,officialSource; businessCta; verificationPanel; browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
41,vat-calculator-yo,Kalkuletan VAT,/yo/awon-ise/kalkuletan-vat/,ecommerce,VAT & Business Tax,live,yo,81,B,standard-grade,P3-monitor,1,"VAT, invoice, ecommerce calculator",Taxngr; TaxCalc.ng; Zoho Invoice; Wave,disclaimer,download; saveExport; businessCta; browserOk,unclear primary action; missing export/copy/save path; browser smoke not run; stale or undated assumptions; missing disclaimer/limitations
