route,relPath,family,score,issues,evidence
"/pro/apps/hr/","pro/apps/hr/index.html","pro","26","late_multicolumn_collapse","late_multicolumn_collapse: pro/apps/hr/index.html .hr-snapshot keeps 4 columns until 760px. || late_multicolumn_collapse: pro/apps/hr/index.html .hr-setup-form keeps 2 columns until 760px. || late_multicolumn_collapse: pro/apps/hr/index.html .hr-mini-dashboard keeps 5 columns until 760px."
"/pro/apps/legal/","pro/apps/legal/index.html","pro","24","late_multicolumn_collapse","late_multicolumn_collapse: pro/apps/legal/index.html .legal-snapshot keeps 4 columns until 760px. || late_multicolumn_collapse: pro/apps/legal/index.html .legal-entity keeps 3 columns until 760px."
"/pro/apps/property-projects/","pro/apps/property-projects/index.html","pro","26","late_multicolumn_collapse","late_multicolumn_collapse: pro/apps/property-projects/index.html .prop-snapshot keeps 4 columns until 760px. || late_multicolumn_collapse: pro/apps/property-projects/index.html .prop-workflows keeps 6 columns until 760px. || late_multicolumn_collapse: pro/apps/property-projects/index.html .prop-workflows keeps 3 columns until 760px."
"/pro/apps/seller/","pro/apps/seller/index.html","pro","20","horizontal_overflow_risk","horizontal_overflow_risk: pro/apps/seller/index.html table sets min-width to 720px."
"/pro/apps/tax-compliance/","pro/apps/tax-compliance/index.html","pro","22","late_multicolumn_collapse","late_multicolumn_collapse: pro/apps/tax-compliance/index.html .tax-calendar keeps 4 columns until 760px."
"/pro/apps/trade-desk/","pro/apps/trade-desk/index.html","pro","24","late_multicolumn_collapse","late_multicolumn_collapse: pro/apps/trade-desk/index.html .trade-snapshot keeps 4 columns until 760px. || late_multicolumn_collapse: pro/apps/trade-desk/index.html .trade-party keeps 3 columns until no collapse rule."
"/suggest-tool/","suggest-tool/index.html","suggest-tool","20","sub16_form_controls","sub16_form_controls: suggest-tool/index.html .form-card-sub sets control text to 13.1px."
"/sw/biashara-na-uzingatiaji/","sw/biashara-na-uzingatiaji/index.html","sw/biashara-na-uzingatiaji","20","tap_targets_below_44","tap_targets_below_44: sw/biashara-na-uzingatiaji/index.html .sw-malipo ya awalid-pdf-crosslinks a is likely about 32.1px tall."
"/sw/biashara-ndogo/","sw/biashara-ndogo/index.html","sw/biashara-ndogo","20","tap_targets_below_44","tap_targets_below_44: sw/biashara-ndogo/index.html .sw-malipo ya awalid-pdf-crosslinks a is likely about 32.1px tall."
"/sw/zana/kilinganisha-tv-na-streaming/","sw/zana/kilinganisha-tv-na-streaming/index.html","sw/zana","20","horizontal_overflow_risk","horizontal_overflow_risk: sw/zana/kilinganisha-tv-na-streaming/index.html table sets min-width to 600px."
"/sw/zana/kulinganisha-hosting/","sw/zana/kulinganisha-hosting/index.html","sw/zana","20","horizontal_overflow_risk","horizontal_overflow_risk: sw/zana/kulinganisha-hosting/index.html table sets min-width to 980px."
"/sw/zana/orodha-vifaa/","sw/zana/orodha-vifaa/index.html","sw/zana","20","horizontal_overflow_risk","horizontal_overflow_risk: sw/zana/orodha-vifaa/index.html table sets min-width to 700px."
"/telecom/","telecom/index.html","telecom","22","tap_targets_below_44","tap_targets_below_44: assets/css/telecom-hub-polish.css .telecom-mini-steps a is likely about 34px tall. || tap_targets_below_44: assets/css/telecom-hub-polish.css .telecom-workflow-card a is likely about 32px tall."
"/telecom/tv-compare/","telecom/tv-compare/index.html","telecom","20","horizontal_overflow_risk","horizontal_overflow_risk: telecom/tv-compare/index.html table sets min-width to 600px."
"/tools/afropayroll-os/employee.html","tools/afropayroll-os/employee.html","tools/afropayroll-os","20","horizontal_overflow_risk","horizontal_overflow_risk: tools/afropayroll-os/employee.html table sets min-width to 720px."
"/tools/afropayroll-os/workspace.html","tools/afropayroll-os/workspace.html","tools/afropayroll-os","24","late_multicolumn_collapse","late_multicolumn_collapse: tools/afropayroll-os/workspace.html dl keeps 2 columns until no collapse rule. || late_multicolumn_collapse: tools/afropayroll-os/workspace.html dl keeps 2 columns until no collapse rule."
"/tools/afrostream/admin.html","tools/afrostream/admin.html","tools/afrostream","56","sub16_form_controls|tap_targets_below_44","sub16_form_controls: tools/afrostream/admin.html .tab sets control text to 13.1px. || sub16_form_controls: tools/afrostream/admin.html .input sets control text to 13.6px. || sub16_form_controls: tools/afrostream/admin.html .btn sets control text to 13.1px. || sub16_form_controls: tools/afrostream/admin.html .btn-sm sets control text to 12px."
"/tools/afrostream/creator.html","tools/afrostream/creator.html","tools/afrostream","24","late_multicolumn_collapse","late_multicolumn_collapse: tools/afrostream/creator.html #statsGrid keeps 3 columns until 420px. || late_multicolumn_collapse: tools/afrostream/creator.html #statsGrid keeps 2 columns until 420px."
"/tools/afrostream/news.html","tools/afrostream/news.html","tools/afrostream","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/afrostream/news.html .as-lb-item keeps 3 columns until no collapse rule."
"/tools/afrostream/university/benchmark/methodology/","tools/afrostream/university/benchmark/methodology/index.html","tools/afrostream","20","horizontal_overflow_risk","horizontal_overflow_risk: tools/afrostream/university/benchmark/methodology/index.html Inline style sets min-width to 520px."
"/tools/afrostream/university/platforms/","tools/afrostream/university/platforms/index.html","tools/afrostream","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/afrostream/university/university.css .su-platform-body keeps 2 columns until 540px."
"/tools/ajo-tracker/app.html","tools/ajo-tracker/app.html","tools/ajo-tracker","120","sub16_form_controls|tap_targets_below_44|late_multicolumn_collapse|custom_mobile_nav_search|fixed_header_without_scroll_padding","sub16_form_controls: assets/css/african-workflow.css .afw-route-actions a,.afw-route-actions button sets control text to 11.5px. || sub16_form_controls: assets/css/african-workflow.css .afw-modal input sets control text to 14.4px. || sub16_form_controls: tools/ajo-tracker/app.html .btn sets control text to 13.1px. || sub16_form_controls: tools/ajo-tracker/app.html .form-group input,.form-group select sets control text to 14.1px."
"/tools/background-remover/","tools/background-remover/index.html","tools/background-remover","22","late_multicolumn_collapse","late_multicolumn_collapse: assets/css/background-remover-studio.css .br-segmented keeps 2 columns until no collapse rule."
"/tools/boq-builder/app.html","tools/boq-builder/app.html","tools/boq-builder","108","sub16_form_controls|tap_targets_below_44|late_multicolumn_collapse|custom_mobile_nav_search|fixed_header_without_scroll_padding","sub16_form_controls: tools/boq-builder/app.html .proj-field input,.proj-field select sets control text to 13px. || sub16_form_controls: tools/boq-builder/app.html .items-table input,.items-table select sets control text to 12px. || sub16_form_controls: tools/boq-builder/app.html .adj-row input,.adj-row select sets control text to 12px. || tap_targets_below_44: assets/css/engineering-enhancements.css .eng-lead-form button is likely about 42px tall."
"/tools/burial-cost/","tools/burial-cost/index.html","tools/burial-cost","24","late_multicolumn_collapse","late_multicolumn_collapse: tools/burial-cost/index.html .fc-budgets keeps 3 columns until 500px. || late_multicolumn_collapse: tools/burial-cost/index.html .fc-items keeps 2 columns until 500px."
"/tools/business-plan/app.html","tools/business-plan/app.html","tools/business-plan","62","sub16_form_controls|tap_targets_below_44|custom_mobile_nav_search","sub16_form_controls: assets/css/business-plan.css .bp-panel input,.bp-panel select,.bp-panel textarea sets control text to 13.4px. || sub16_form_controls: assets/css/business-plan.css .bp-saved-actions button sets control text to 11.5px. || tap_targets_below_44: assets/css/business-plan.css .bp-saved-actions button is likely about 32px tall. || custom_mobile_nav_search: tools/business-plan/app.html Page uses custom mobile chrome tokens: topbar, search-input, filter-bar."
"/tools/business-plan/","tools/business-plan/index.html","tools/business-plan","24","late_multicolumn_collapse","late_multicolumn_collapse: tools/business-plan/index.html .business-score keeps 2 columns until no collapse rule. || late_multicolumn_collapse: tools/business-plan/index.html .business-preview-table keeps 3 columns until 720px."
"/tools/calorie-counter/","tools/calorie-counter/index.html","tools/calorie-counter","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/calorie-counter/index.html .macro-bar keeps 4 columns until no collapse rule."
"/tools/cash-flow-forecast/","tools/cash-flow-forecast/index.html","tools/cash-flow-forecast","20","horizontal_overflow_risk","horizontal_overflow_risk: tools/cash-flow-forecast/index.html table sets min-width to 900px."
"/tools/contract-generator/app.html","tools/contract-generator/app.html","tools/contract-generator","88","sub16_form_controls|tap_targets_below_44|late_multicolumn_collapse|custom_mobile_nav_search","sub16_form_controls: tools/contract-generator/app.html .btn sets control text to 12px. || sub16_form_controls: tools/contract-generator/app.html .form-card h3 sets control text to 15.2px. || sub16_form_controls: tools/contract-generator/app.html .field .tip sets control text to 10.9px. || sub16_form_controls: tools/contract-generator/app.html .field input,.field textarea,.field select sets control text to 13px."
"/tools/contract-generator/","tools/contract-generator/index.html","tools/contract-generator","22","tap_targets_below_44","tap_targets_below_44: assets/css/legal-enhancements.css .leg-source-links a is likely about 28px tall. || tap_targets_below_44: assets/css/legal-enhancements.css .leg-workflow-next a is likely about 34px tall."
"/tools/cover-letter-generator/app.html","tools/cover-letter-generator/app.html","tools/cover-letter-generator","104","sub16_form_controls|tap_targets_below_44|late_multicolumn_collapse|custom_mobile_nav_search|fixed_header_without_scroll_padding","sub16_form_controls: tools/cover-letter-generator/app.html .btn sets control text to 13.3px. || sub16_form_controls: tools/cover-letter-generator/app.html .field span sets control text to 11.8px. || sub16_form_controls: tools/cover-letter-generator/app.html .field input,.field select,.field textarea sets control text to 14.1px. || tap_targets_below_44: tools/cover-letter-generator/app.html .btn is likely about 38px tall."
"/tools/customs-time/","tools/customs-time/index.html","tools/customs-time","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/customs-time/index.html .time-hero keeps 3 columns until 600px."
"/tools/domestic-worker/","tools/domestic-worker/index.html","tools/domestic-worker","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/domestic-worker/index.html .dw-kpis keeps 2 columns until 700px."
