"route","file","issue_id","detail"
"/sw/chad/","sw/chad/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/chad/","sw/chad/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/comoros/","sw/comoros/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/comoros/","sw/comoros/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/comoros/kikokotoo-kodi-mshahara/","sw/comoros/kikokotoo-kodi-mshahara/index.html","many_inline_dark_text_colors","8 inline dark text colors may clash in dark mode."
"/sw/congo/","sw/congo/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/congo/","sw/congo/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/cote-divoire/","sw/cote-divoire/index.html","many_inline_light_backgrounds","53 inline light backgrounds may need token coverage."
"/sw/cote-divoire/","sw/cote-divoire/index.html","many_inline_dark_text_colors","35 inline dark text colors may clash in dark mode."
"/sw/data-na-tija/","sw/data-na-tija/index.html","many_inline_light_backgrounds","34 inline light backgrounds may need token coverage."
"/sw/data-na-tija/","sw/data-na-tija/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/dini-na-utamaduni/","sw/dini-na-utamaduni/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/djibouti/","sw/djibouti/index.html","many_inline_light_backgrounds","19 inline light backgrounds may need token coverage."
"/sw/djibouti/","sw/djibouti/index.html","many_inline_dark_text_colors","18 inline dark text colors may clash in dark mode."
"/sw/djibouti/kikokotoo-kodi-mshahara/","sw/djibouti/kikokotoo-kodi-mshahara/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/dr-congo/","sw/dr-congo/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/dr-congo/","sw/dr-congo/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/egypt/","sw/egypt/index.html","many_inline_light_backgrounds","137 inline light backgrounds may need token coverage."
"/sw/egypt/","sw/egypt/index.html","many_inline_dark_text_colors","107 inline dark text colors may clash in dark mode."
"/sw/equatorial-guinea/","sw/equatorial-guinea/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/equatorial-guinea/","sw/equatorial-guinea/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/eritrea/","sw/eritrea/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/eritrea/","sw/eritrea/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
