route,relPath,family,issue,evidence,fixCandidates
"/embed/","embed/index.html","embed","tap_targets_below_44","embed/index.html: a is likely about 43.2px tall.","embed/index.html | shared 44px tap target pattern"
"/embed/","embed/index.html","embed","custom_mobile_nav_search","embed/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","embed | assets/js/components/navbar.js adoption"
"/energy/","energy/index.html","energy","tap_targets_below_44","assets/css/energy-competitive.css: .en-hub-path-steps a,.en-home-path-steps a is likely about 34px tall.","assets/css/energy-competitive.css | shared 44px tap target pattern"
"/energy/","energy/index.html","energy","late_multicolumn_collapse","assets/css/energy-competitive.css: .en-hub-path-grid,.en-home-path-grid keeps 5 columns until 640px. | assets/css/energy-competitive.css: .en-hub-path-grid,.en-home-path-grid keeps 2 columns until 640px.","assets/css/energy-competitive.css | shared early-collapse layout pattern"
"/engineering/afrodraft/app.html","engineering/afrodraft/app.html","engineering","sub16_form_controls","engineering/afrodraft/assets/css/app.css: .layer-toolbar button sets control text to 10px. | engineering/afrodraft/assets/css/app.css: .modal-field input,.modal-field select sets control text to 11px. | engineering/afrodraft/assets/css/app.css: .recent-item-actions button sets control text to 11px.","engineering/afrodraft/assets/css/app.css | shared mobile form sizing pattern"
"/engineering/afrodraft/app.html","engineering/afrodraft/app.html","engineering","tap_targets_below_44","engineering/afrodraft/assets/css/app.css: #tab-bar is likely about 27.2px tall. | engineering/afrodraft/assets/css/app.css: #tab-new is likely about 26px tall. | engineering/afrodraft/assets/css/app.css: #zoom-controls button is likely about 24px tall. | engineering/afrodraft/assets/css/app.css: .layer-toolbar button is likely about 16px tall. | engineering/afrodraft/assets/css/app.css: .recent-item-actions button is likely about 24px tall. | assets/css/engineering-enhancements.css: .eng-lead-form button is likely about 42px tall.","engineering/afrodraft/assets/css/app.css | assets/css/engineering-enhancements.css | shared 44px tap target pattern"
"/engineering/afrodraft/app.html","engineering/afrodraft/app.html","engineering","late_multicolumn_collapse","engineering/afrodraft/assets/css/app.css: #main-area keeps 3 columns until no collapse rule. | engineering/afrodraft/assets/css/workspace-shell.css: #cad-app.workspace-shell-ready #main-area keeps 4 columns until no collapse rule. | engineering/afrodraft/assets/css/workspace-shell.css: #cad-app.workspace-shell-ready.rulers-hidden #main-area keeps 3 columns until no collapse rule. | engineering/afrodraft/assets/css/workspace-shell.css: #cad-app.workspace-shell-ready.inspector-floating #main-area keeps 4 columns until no collapse rule. | engineering/afrodraft/assets/css/workspace-shell.css: #cad-app.workspace-shell-ready.rulers-hidden.inspector-floating #main-area keeps 3 columns until no collapse rule.","engineering/afrodraft/assets/css/app.css | engineering/afrodraft/assets/css/workspace-shell.css | shared early-collapse layout pattern"
"/engineering/afrodraft/app.html","engineering/afrodraft/app.html","engineering","horizontal_overflow_risk","engineering/afrodraft/assets/css/app.css: #cad-app uses 100vw, which often causes mobile overflow with padding or scrollbars. | engineering/afrodraft/assets/css/app.css: .cp-box hard-codes 480px without an obvious max-width guard.","engineering/afrodraft/assets/css/app.css | shared overflow guard pattern"
"/engineering/afrodraft/app.html","engineering/afrodraft/app.html","engineering","custom_mobile_nav_search","engineering/afrodraft/app.html: Page uses custom mobile chrome tokens: topbar, drawer, search-input, filter-bar.","engineering | shared app shell mobile pattern"
"/engineering/floor-planner/","engineering/floor-planner/index.html","engineering","late_multicolumn_collapse","engineering/floor-planner/css/floor-planner.css: .fp-mobile-tools-grid keeps 4 columns until no collapse rule.","engineering/floor-planner/css/floor-planner.css | shared early-collapse layout pattern"
